,ag_id,agents_success_bool_final,agents_success_step_final,exploring_completeness_final,exploring_redundancy_final,mapping_correctness_final,obs_mean_error_team_final,obs_mean_bv_team_final,mapping_entropy_uncertain_final,mapping_entropy_unknown_final,n_new_meetings_final,n_new_data_final,meeting_avg_cost_final,meeting_loops_avg_cost_final,loops_avg_cost_final,loops_correcting_avg_cost_final,score_final,exploring_completeness_are,exploring_redundancy_are,mapping_correctness_are,robot_localization_error_are,obs_mean_error_team_are,obs_mean_error_self_are,robot_entropy_are,obs_mean_bv_team_are,mapping_entropy_uncertain_are,mapping_entropy_unknown_are,global_entropy_are,team_lastly_seen_mean_ts_are,team_lastly_seen_mean_ts_corr_are,team_agents_known_perc_are,team_known_perc_are,new_meetings_frequency,new_meetings_itv_median,disconnection_max,correcting_max_cost
0,1,True,172,99.9,18,100.0,0,0,0.3,0.3,10,14,161.3,67.21,17.65,34.1,4142,58.2,10.2,87.8,1.0,0.1,0.2,0.7,1.2,192.7,180.7,0.4,"(52, 250)",52.0,100.0,45.3,33,18,115,544
1,2,True,171,99.9,18,100.0,0,0,0.3,0.3,8,16,130.0,47.27,29.36,55.87,3318,59.7,10.1,80.5,1.4,0.5,0.6,1.2,7.2,202.1,174.1,0.7,"(54, 250)",53.8,100.0,43.6,40,19,135,342
2,3,True,198,99.0,18,100.0,0,0,4.5,4.3,7,12,74.71,27.53,11.01,22.85,2505,59.8,10.1,91.6,1.2,0.1,0.2,1.0,1.3,191.8,173.5,0.4,"(49, 250)",48.9,100.0,54.0,49,52,81,234
3,4,True,175,99.9,19,100.0,0,0,0.3,0.3,8,14,111.12,44.45,24.1,49.23,3926,60.3,10.2,91.2,1.1,0.2,0.3,1.0,2.1,189.0,171.6,0.5,"(48, 250)",48.4,100.0,51.1,40,22,135,524
