,ag_id,agents_success_bool_final,agents_success_step_final,exploring_completeness_final,exploring_redundancy_final,mapping_correctness_final,obs_mean_error_team_final,obs_mean_bv_team_final,mapping_entropy_uncertain_final,mapping_entropy_unknown_final,n_new_meetings_final,n_new_data_final,meeting_avg_cost_final,meeting_loops_avg_cost_final,loops_avg_cost_final,loops_correcting_avg_cost_final,score_final,exploring_completeness_are,exploring_redundancy_are,mapping_correctness_are,robot_localization_error_are,obs_mean_error_team_are,obs_mean_error_self_are,robot_entropy_are,obs_mean_bv_team_are,mapping_entropy_uncertain_are,mapping_entropy_unknown_are,global_entropy_are,team_lastly_seen_mean_ts_are,team_lastly_seen_mean_ts_corr_are,team_agents_known_perc_are,team_known_perc_are,new_meetings_frequency,new_meetings_itv_median,disconnection_max,correcting_max_cost
0,1,False,False,41.3,19,97.1,0,0.0,263.7,253.7,9,9,35.89,16.15,10.08,18.73,4054,30.0,13.5,94.1,0.3,0.0,0.0,0.4,0.2,315.4,302.6,0.5,"(76, 250)",75.7,100.0,44.9,17,10,148,148
1,2,False,False,62.8,21,100.0,0,0.0,167.0,160.7,9,12,93.56,38.27,6.61,13.31,2959,36.1,14.4,70.8,1.2,0.4,0.6,1.0,4.3,299.1,275.9,0.8,"(47, 250)",46.5,100.0,56.1,40,37,92,362
2,3,False,False,63.7,20,100.0,0,0.01,162.9,156.7,12,20,61.0,18.77,7.34,16.14,3732,34.1,14.4,95.2,0.9,0.0,0.1,0.5,0.2,296.4,284.5,0.5,"(45, 250)",44.7,100.0,61.2,27,12,100,220
3,4,False,False,56.6,19,98.9,0,0.0,194.8,187.3,9,15,82.56,26.54,4.84,10.49,3243,34.5,14.4,94.9,0.2,0.0,0.0,0.3,0.7,295.2,282.8,0.6,"(46, 250)",46.1,100.0,57.8,30,21,84,226
