,ag_id,agents_success_bool_final,agents_success_step_final,exploring_completeness_final,exploring_redundancy_final,mapping_correctness_final,obs_mean_error_team_final,obs_mean_bv_team_final,mapping_entropy_uncertain_final,mapping_entropy_unknown_final,n_new_meetings_final,n_new_data_final,meeting_avg_cost_final,meeting_loops_avg_cost_final,loops_avg_cost_final,loops_correcting_avg_cost_final,score_final,exploring_completeness_are,exploring_redundancy_are,mapping_correctness_are,robot_localization_error_are,obs_mean_error_team_are,obs_mean_error_self_are,robot_entropy_are,obs_mean_bv_team_are,mapping_entropy_uncertain_are,mapping_entropy_unknown_are,global_entropy_are,team_lastly_seen_mean_ts_are,team_lastly_seen_mean_ts_corr_are,team_agents_known_perc_are,team_known_perc_are,new_meetings_frequency,new_meetings_itv_median,disconnection_max,correcting_max_cost
0,1,True,218,98.6,24,100.0,0,0.0,6.2,6.0,10,15,169.8,70.75,14.94,41.98,4368,40.2,10.9,71.6,1.8,0.6,0.6,1.4,6.6,293.3,258.3,1.1,"(81, 250)",80.6,100.0,24.9,35,8,198,625
1,2,True,218,98.6,24,100.0,0,0.0,6.2,6.0,12,21,175.08,50.02,13.74,30.84,4677,55.0,12.3,80.9,1.2,0.3,0.3,0.9,2.8,210.2,194.4,0.6,"(42, 250)",41.5,100.0,52.9,27,24,60,413
2,3,True,218,98.6,24,100.0,0,0.0,6.2,6.0,13,20,189.46,57.28,16.49,42.13,5595,55.5,11.8,84.2,1.3,0.3,0.4,0.9,1.4,205.8,192.1,0.5,"(45, 250)",44.8,100.0,52.1,24,18,78,651
3,4,True,224,98.1,24,99.3,0,0.03,8.3,8.0,11,18,150.55,51.75,18.7,43.89,4893,56.2,12.2,83.1,1.0,0.3,0.3,0.9,1.8,201.9,189.3,0.5,"(45, 250)",45.1,100.0,53.6,28,14,67,467
