,ag_id,agents_success_bool_final,agents_success_step_final,exploring_completeness_final,exploring_redundancy_final,mapping_correctness_final,obs_mean_error_team_final,obs_mean_bv_team_final,mapping_entropy_uncertain_final,mapping_entropy_unknown_final,n_new_meetings_final,n_new_data_final,meeting_avg_cost_final,meeting_loops_avg_cost_final,loops_avg_cost_final,loops_correcting_avg_cost_final,score_final,exploring_completeness_are,exploring_redundancy_are,mapping_correctness_are,robot_localization_error_are,obs_mean_error_team_are,obs_mean_error_self_are,robot_entropy_are,obs_mean_bv_team_are,mapping_entropy_uncertain_are,mapping_entropy_unknown_are,global_entropy_are,team_lastly_seen_mean_ts_are,team_lastly_seen_mean_ts_corr_are,team_agents_known_perc_are,team_known_perc_are,new_meetings_frequency,new_meetings_itv_median,disconnection_max,correcting_max_cost
0,1,True,234,98.8,14,99.3,0.0,0.0,5.2,5.0,5,7,65.0,40.62,8.42,11.35,2376,43.5,10.3,91.9,1.0,0.1,0.3,1.1,2.2,261.2,244.0,0.6,"(88, 250)",88.3,100.0,32.8,False,False,188,234
1,2,True,233,99.0,14,100.0,0.0,0.03,4.5,4.3,6,11,113.33,48.57,17.27,23.58,2816,51.6,9.4,91.5,1.0,0.1,0.1,1.1,1.4,225.1,209.2,0.5,"(80, 250)",80.5,100.0,35.2,77,65,141,466
2,3,False,False,87.7,14,89.6,0.06,0.67,72.1,53.3,11,15,82.91,26.06,18.31,29.11,3147,52.3,11.2,89.0,1.0,0.2,0.2,1.0,1.0,218.1,206.2,0.4,"(72, 250)",72.0,100.0,46.6,16,15,125,312
3,4,False,False,83.2,14,91.8,0.11,0.78,87.7,72.7,11,15,82.91,22.8,20.49,43.84,4994,51.8,11.0,90.5,1.0,0.1,0.2,0.9,0.7,220.9,208.2,0.4,"(73, 250)",72.7,100.0,45.8,16,15,125,191
