,ag_id,agents_success_bool_final,agents_success_step_final,exploring_completeness_final,exploring_redundancy_final,mapping_correctness_final,obs_mean_error_team_final,obs_mean_bv_team_final,mapping_entropy_uncertain_final,mapping_entropy_unknown_final,n_new_meetings_final,n_new_data_final,meeting_avg_cost_final,meeting_loops_avg_cost_final,loops_avg_cost_final,loops_correcting_avg_cost_final,score_final,exploring_completeness_are,exploring_redundancy_are,mapping_correctness_are,robot_localization_error_are,obs_mean_error_team_are,obs_mean_error_self_are,robot_entropy_are,obs_mean_bv_team_are,mapping_entropy_uncertain_are,mapping_entropy_unknown_are,global_entropy_are,team_lastly_seen_mean_ts_are,team_lastly_seen_mean_ts_corr_are,team_agents_known_perc_are,team_known_perc_are,new_meetings_frequency,new_meetings_itv_median,disconnection_max,correcting_max_cost
0,1,False,False,83.3,12,100.0,0,0.08,75.9,72.3,8,11,87.38,34.95,13.73,23.91,2854,46.2,10.2,93.8,1.0,0.0,0.1,1.0,0.6,246.4,232.3,0.5,"(81, 250)",81.0,100.0,38.4,31,22,95,267
1,2,False,False,83.4,15,100.0,0,0.0,74.5,71.7,8,14,131.62,47.86,18.11,31.9,3477,45.8,10.2,88.3,1.0,0.1,0.3,1.0,0.9,249.4,234.3,0.5,"(86, 250)",85.9,100.0,39.0,46,14,166,457
2,3,False,False,91.8,12,98.6,0,0.06,36.7,35.3,9,13,65.89,25.78,12.32,27.55,2976,49.9,9.4,93.7,0.9,0.0,0.1,1.1,0.7,232.0,216.3,0.4,"(79, 250)",78.9,100.0,42.2,26,20,96,310
3,4,False,False,86.9,14,100.0,0,0.15,62.2,56.7,10,14,50.6,14.06,8.88,17.62,2587,46.4,10.9,87.1,2.0,0.2,0.4,1.1,1.0,248.3,231.3,0.5,"(85, 250)",85.4,100.0,41.0,33,11,166,217
