,ag_id,agents_success_bool_final,agents_success_step_final,exploring_completeness_final,exploring_redundancy_final,mapping_correctness_final,obs_mean_error_team_final,obs_mean_bv_team_final,mapping_entropy_uncertain_final,mapping_entropy_unknown_final,n_new_meetings_final,n_new_data_final,meeting_avg_cost_final,meeting_loops_avg_cost_final,loops_avg_cost_final,loops_correcting_avg_cost_final,score_final,exploring_completeness_are,exploring_redundancy_are,mapping_correctness_are,robot_localization_error_are,obs_mean_error_team_are,obs_mean_error_self_are,robot_entropy_are,obs_mean_bv_team_are,mapping_entropy_uncertain_are,mapping_entropy_unknown_are,global_entropy_are,team_lastly_seen_mean_ts_are,team_lastly_seen_mean_ts_corr_are,team_agents_known_perc_are,team_known_perc_are,new_meetings_frequency,new_meetings_itv_median,disconnection_max,correcting_max_cost
0,1,True,158,100.0,14,100.0,0,0,0,0,5,6,31.6,39.5,12.45,15.56,1752,54.8,9.8,53.2,1.9,1.4,1.5,1.6,20.0,245.1,195.3,1.3,"(64, 250)",64.2,100.0,33.6,False,False,157,159
1,2,True,177,100.0,16,100.0,0,0,0,0,6,10,110.17,66.1,43.18,61.17,2255,64.0,9.2,77.8,2.9,0.6,0.8,1.3,5.9,188.6,155.6,0.7,"(52, 250)",51.8,100.0,43.6,False,False,113,529
2,3,True,157,100.0,16,100.0,0,0,0,0,9,14,125.44,41.81,16.76,33.52,3128,68.3,10.1,96.3,0.5,0.0,0.1,0.7,2.9,148.9,136.9,0.5,"(35, 250)",34.5,100.0,56.0,29,19,63,353
3,4,True,161,100.0,16,100.0,0,0,0,0,8,11,141.5,56.6,29.4,45.14,2808,66.0,10.3,81.6,1.5,0.6,0.7,1.0,5.2,167.6,146.8,0.6,"(37, 250)",36.8,100.0,54.1,35,15,86,482
